id,outcome,dti,borrower_score,payment_inc_ratio
32109,paid off,21.23,0.4,5.11135
16982,default,15.49,0.4,5.43165
25335,paid off,27.3,0.7,9.230030000000001
34580,paid off,21.11,0.4,2.33482
14424,default,16.46,0.45,12.1032
35621,paid off,12.12,0.5,3.89391
9920,default,29.79,0.4,7.0039
42095,paid off,7.94,0.4,10.0407
25219,paid off,10.81,0.55,3.5497199999999998
26196,paid off,16.37,0.45,7.50984
19798,default,11.42,0.4,1.8206099999999998
35333,paid off,7.22,0.6,11.1794
33036,paid off,12.95,0.45,3.1652299999999998
6729,default,14.79,0.5,2.42371
40734,paid off,16.75,0.75,3.904
33148,paid off,25.71,0.75,9.10638
6707,default,22.37,0.3,8.25
44331,paid off,17.73,0.65,7.08316
29681,paid off,21.78,0.45,8.948780000000001
9141,default,8.18,0.7,8.39775
18112,default,11.52,0.6,11.4713
18492,default,21.7,0.45,9.328330000000001
38079,paid off,18.67,0.6,2.40435
22712,default,33.32,0.25,15.5251
9911,default,23.37,0.45,9.09314
5042,default,21.63,0.55,10.2228
5968,default,25.0,0.35,12.835
4550,default,16.57,0.4,3.82205
30075,paid off,18.62,0.55,10.7362
42738,paid off,14.25,0.4,8.2005
17209,default,25.74,0.55,13.8554
17292,default,21.16,0.4,10.4125
6062,default,10.0,0.5,3.59956
457,default,14.19,0.6,6.821330000000001
1461,default,15.4,0.45,8.22563
7195,default,13.76,0.5,9.88155
42207,paid off,14.76,0.65,2.84045
953,default,18.62,0.5,7.03965
11388,default,6.82,0.4,10.6259
14956,default,13.74,0.65,5.15085
34666,paid off,8.52,0.45,10.1452
35707,paid off,10.91,0.55,8.154860000000001
17656,default,15.42,0.3,10.3016
14227,default,20.62,0.45,4.5407
41294,paid off,12.74,0.3,5.835430000000001
30323,paid off,7.41,0.55,5.4595199999999995
39802,paid off,4.8,0.2,5.08357
27950,paid off,11.47,0.25,3.9407400000000004
38596,paid off,10.43,0.8,3.46604
22035,default,13.38,0.45,8.50271
17634,default,19.35,0.3,2.98882
3441,default,10.1,0.4,6.69395
4647,default,20.37,0.35,3.37517
1263,default,16.94,0.35,6.6783399999999995
37283,paid off,4.9,0.55,2.54547
20048,default,12.71,0.5,5.1992400000000005
31673,paid off,0.62,0.65,4.12045
31412,paid off,13.15,0.55,5.72613
37980,paid off,14.92,0.45,5.0533
3629,default,22.71,0.45,7.848
582,default,12.9,0.45,4.26716
44344,paid off,4.0,0.65,3.0785
21662,default,32.4,0.6,11.2352
27179,paid off,12.78,0.5,3.7549
11060,default,17.12,0.35,14.3483
22210,default,16.06,0.7,4.0812
4095,default,19.72,0.4,17.9856
30270,paid off,15.17,0.4,7.3297
44976,paid off,15.94,0.5,6.843389999999999
6117,default,14.28,0.55,6.3457099999999995
24695,paid off,14.64,0.75,5.21777
36045,paid off,8.45,0.4,5.36139
30548,paid off,20.79,0.7,6.69905
20962,default,7.14,0.55,9.426
7127,default,22.17,0.55,5.4993099999999995
34943,paid off,10.19,0.45,2.3468
33042,paid off,17.18,0.6,3.9139999999999997
29231,paid off,18.6,0.6,7.763730000000001
42989,paid off,20.89,0.55,6.32734
32224,paid off,12.89,0.55,8.856
40177,paid off,15.95,0.55,9.87171
4402,default,1.77,0.35,0.221906
23386,paid off,17.0,0.55,6.43735
27429,paid off,13.06,0.5,9.72069
36110,paid off,25.38,0.3,7.8082899999999995
11471,default,22.83,0.5,17.8067
5786,default,22.47,0.65,1.56019
8501,default,11.64,0.6,13.6776
32345,paid off,13.91,0.7,2.32229
40814,paid off,29.97,0.55,14.73
31506,paid off,25.42,0.75,5.77415
22071,default,27.5,0.6,14.7003
8760,default,18.72,0.5,6.8932
9467,default,15.41,0.5,12.804
36089,paid off,20.96,0.7,9.01168
8824,default,29.07,0.3,15.0219
36871,paid off,14.92,0.7,3.3118199999999995
15016,default,15.33,0.65,10.9084
27811,paid off,15.69,0.4,1.6407599999999998
31477,paid off,0.6,0.6,5.9967
16443,default,8.95,0.55,5.82789
27974,paid off,5.61,0.6,3.56895
32565,paid off,25.41,0.6,13.3063
5276,default,1.57,0.35,9.58608
9853,default,19.11,0.45,2.3757
9597,default,30.6,0.45,15.6752
29012,paid off,12.53,0.6,2.07563
7993,default,25.23,0.75,12.9764
14378,default,24.82,0.35,10.5487
22808,default,21.91,0.5,5.060230000000001
22378,default,13.03,0.6,11.1843
700,default,13.65,0.55,14.8086
9022,default,7.75,0.7,9.5474
32061,paid off,8.02,0.7,8.982999999999999
17635,default,16.71,0.5,8.64794
2782,default,15.14,0.35,12.765
35404,paid off,4.86,0.7,1.86972
41582,paid off,30.18,0.5,8.74125
45473,paid off,15.51,0.55,1.40852
28218,paid off,23.25,0.45,2.89577
32473,paid off,8.42,0.35,5.36218
44026,paid off,9.06,0.4,16.3538
6893,default,26.13,0.35,9.93493
31532,paid off,18.08,0.5,5.12226
45242,paid off,22.42,0.45,4.4214400000000005
44608,paid off,1.53,0.85,9.126389999999999
46149,paid off,10.34,0.55,9.59132
41086,paid off,3.27,0.7,2.3808
38554,paid off,8.36,0.75,10.5946
22948,default,9.36,0.55,12.842
23380,paid off,4.8,0.65,2.6463400000000004
35870,paid off,15.62,0.6,2.74391
25168,paid off,19.82,0.4,1.1994
33438,paid off,12.85,0.5,5.195130000000001
118,default,20.25,0.35,9.52015
23072,default,18.89,0.7,10.4786
11667,default,11.42,0.4,5.8448
24474,paid off,26.7,0.5,4.056080000000001
7052,default,30.49,0.5,15.2105
7909,default,28.54,0.55,12.249
23968,paid off,17.28,0.45,9.739519999999999
23970,paid off,20.95,0.55,6.92815
45544,paid off,14.84,0.45,10.498
5155,default,6.6,0.65,2.3477099999999997
2403,default,20.35,0.3,7.004339999999999
24451,paid off,16.44,0.4,5.8395
17843,default,24.53,0.65,8.23981
20308,default,5.31,0.65,13.8591
46046,paid off,22.25,0.45,15.3531
13194,default,32.47,0.55,14.1573
7193,default,20.4,0.4,13.4863
45182,paid off,4.17,0.5,11.8167
29329,paid off,15.4,0.45,9.38945
31861,paid off,21.26,0.55,6.32148
34326,paid off,11.96,0.8,5.7156
33876,paid off,10.26,0.35,8.6841
4688,default,18.07,0.45,13.7863
39274,paid off,34.22,0.45,6.18238
30852,paid off,20.78,0.45,12.8735
35749,paid off,9.95,0.65,4.9387300000000005
6168,default,31.44,0.3,8.7597
16500,default,14.19,0.35,14.2467
32488,paid off,5.8,0.6,13.9073
33946,paid off,27.03,0.35,13.0978
39607,paid off,26.94,0.35,9.44329
22499,default,24.53,0.45,9.324
3577,default,16.62,0.55,1.02219
1272,default,18.23,0.35,9.346860000000001
29795,paid off,8.48,0.65,13.5378
15342,default,31.47,0.25,5.7633
10198,default,30.21,0.55,14.9661
9339,default,13.05,0.45,2.9887099999999998
19368,default,25.68,0.6,5.5959
7316,default,20.08,0.4,11.7156
13922,default,9.41,0.45,18.7111
6124,default,20.18,0.35,5.37207
42829,paid off,25.11,0.65,3.5510300000000004
36381,paid off,17.88,0.7,8.256
30059,paid off,28.68,0.6,10.8857
42055,paid off,19.9,0.6,8.35773
43478,paid off,15.43,0.35,12.2883
21930,default,28.05,0.25,11.1024
29639,paid off,12.58,0.4,7.26547
7401,default,18.9,0.5,12.2311
35008,paid off,19.14,0.75,11.6989
44131,paid off,17.11,0.6,3.7334
42057,paid off,16.2,0.45,6.857060000000001
13379,default,18.64,0.5,6.544969999999999
14034,default,11.76,0.35,13.6452
4660,default,9.01,0.55,10.392000000000001
1495,default,3.34,0.4,4.38495
27999,paid off,12.11,0.6,1.73435
14083,default,24.07,0.55,5.28554
23868,paid off,1.78,0.8,2.93568
18094,default,28.24,0.55,14.7165
25121,paid off,20.5,0.45,7.8360899999999996
33348,paid off,18.42,0.6,6.4902
31284,paid off,4.46,0.65,3.64344
692,default,13.12,0.6,2.9444
3693,default,11.56,0.35,7.419
20687,default,8.81,0.6,5.4984
11580,default,22.02,0.55,12.3024
18913,default,21.51,0.45,6.17376
44083,paid off,21.28,0.5,13.9751
19315,default,8.96,0.65,9.921289999999999
24417,paid off,13.46,0.4,10.738
32660,paid off,9.74,0.65,8.6754
27439,paid off,12.86,0.5,4.01918
35397,paid off,12.73,0.5,5.5112
13890,default,14.62,0.25,7.058260000000001
7668,default,20.98,0.5,6.12592
45810,paid off,8.25,0.6,18.0194
45096,paid off,12.68,0.6,4.6159
39052,paid off,19.05,0.5,11.3316
45131,paid off,3.09,0.6,13.4129
11834,default,23.95,0.6,10.3743
15286,default,18.84,0.45,11.4735
30660,paid off,12.9,0.55,5.61375
17163,default,30.62,0.35,17.148
24977,paid off,1.6,0.6,3.6501300000000003
25929,paid off,14.96,0.45,4.8945300000000005
34754,paid off,26.32,0.7,10.4992
9702,default,7.08,0.65,7.9152
7887,default,18.94,0.6,1.6171200000000001
32510,paid off,24.08,0.25,10.5838
27404,paid off,14.42,0.55,11.8053
44252,paid off,15.36,0.55,9.9629
44743,paid off,13.38,0.65,4.32488
10906,default,22.4,0.3,10.292
42977,paid off,20.1,0.65,8.956380000000001
40778,paid off,2.4,0.5,12.5697
41047,paid off,14.56,0.5,3.6724900000000003
6404,default,28.5,0.45,13.684000000000001
1782,default,19.27,0.5,8.25303
13152,default,10.39,0.5,14.7803
4822,default,18.53,0.55,13.2622
22108,default,13.59,0.55,6.21969
3808,default,20.42,0.35,2.9217299999999997
11483,default,31.38,0.4,9.87241
10805,default,1.9,0.6,9.314639999999999
14196,default,20.74,0.5,15.9866
15071,default,7.97,0.35,2.812
45653,paid off,10.32,0.7,7.286860000000001
45452,paid off,8.73,0.5,4.05845
5486,default,22.95,0.5,5.85316
139,default,5.06,0.65,5.79371
35359,paid off,16.03,0.6,1.59227
13028,default,15.65,0.5,13.6269
27878,paid off,3.61,0.55,6.668019999999999
19075,default,15.48,0.55,7.80207
19541,default,12.5,0.3,7.85243
326,default,15.21,0.35,7.5477
36064,paid off,27.0,0.55,3.2804
27536,paid off,6.91,0.6,5.341559999999999
32802,paid off,23.47,0.3,9.01915
7248,default,20.7,0.4,10.2752
14216,default,14.5,0.55,9.73937
3846,default,20.16,0.55,7.54292
44501,paid off,7.66,0.5,6.27684
43014,paid off,17.64,0.5,6.29513
15217,default,29.1,0.45,4.9742
39629,paid off,26.65,0.6,7.10312
6819,default,15.22,0.45,2.9617400000000003
26096,paid off,27.2,0.45,10.647
23329,paid off,12.44,0.4,7.3812
25116,paid off,18.48,0.35,8.2386
27468,paid off,14.6,0.5,4.754580000000001
20522,default,18.67,0.5,8.4345
17686,default,26.19,0.4,8.76715
8953,default,25.56,0.55,13.0568
31540,paid off,19.8,0.35,14.2904
34977,paid off,14.47,0.7,5.004
15600,default,12.32,0.6,2.4496
11252,default,3.69,0.55,10.5177
20510,default,15.38,0.5,13.6751
1232,default,17.78,0.35,11.6987
1051,default,10.99,0.55,15.4858
26945,paid off,18.85,0.5,2.65774
31213,paid off,8.04,0.6,1.22181
41380,paid off,7.25,0.55,1.39167
37395,paid off,15.18,0.4,8.57051
30491,paid off,18.55,0.5,2.5669299999999997
3899,default,11.29,0.45,1.15662
6354,default,8.4,0.45,6.83489
37646,paid off,17.85,0.75,3.67865
30409,paid off,6.77,0.7,2.5472
1369,default,23.07,0.25,10.5348
45312,paid off,10.5,0.6,6.63397
11301,default,4.92,0.25,6.9228
3797,default,15.84,0.35,6.301
4314,default,6.85,0.4,11.2825
34054,paid off,4.29,0.75,6.7236
8548,default,9.04,0.65,7.92
24126,paid off,21.28,0.4,8.73943
16438,default,22.92,0.45,15.6826
23901,paid off,16.86,0.45,7.02786
6476,default,21.64,0.35,9.057089999999999
38517,paid off,19.57,0.45,1.8131099999999998
1832,default,15.31,0.55,4.1162
4117,default,21.05,0.3,10.7214
1064,default,14.9,0.65,9.374789999999999
17472,default,21.02,0.6,1.54555
18899,default,19.1,0.5,9.68263
34882,paid off,21.29,0.55,12.9909
14564,default,26.88,0.55,6.9577800000000005
20790,default,23.31,0.25,11.0486
41818,paid off,11.28,0.5,6.33615
32890,paid off,19.79,0.4,13.7794
34110,paid off,27.35,0.5,15.6204
33798,paid off,9.8,0.65,10.7096
4763,default,11.76,0.45,7.11028
10115,default,25.72,0.55,6.5518
10060,default,16.9,0.4,7.207889999999999
37428,paid off,12.87,0.55,6.84488
15260,default,22.75,0.45,15.6242
36404,paid off,20.82,0.3,5.7893099999999995
7524,default,31.37,0.3,13.7596
9653,default,18.96,0.6,11.2556
41787,paid off,4.34,0.6,15.6288
17910,default,19.05,0.6,11.7108
46262,paid off,9.3,0.5,5.97877
16634,default,18.83,0.3,15.3997
5569,default,23.54,0.6,6.11705
32585,paid off,11.35,0.6,10.1808
40796,paid off,12.06,0.4,9.71347
38428,paid off,7.61,0.55,6.932119999999999
19090,default,17.37,0.35,11.8301
2978,default,23.57,0.25,9.766639999999999
14352,default,22.59,0.3,8.60563
20255,default,13.99,0.6,7.23671
15650,default,18.14,0.55,6.0079199999999995
11240,default,16.25,0.55,13.8282
